Année;Type de secteur;Mission;Code Programme;Programme;Code Externe Objectif;Libellé Objectif;Ordre Ind;Code Externe Indicateur;Libellé Indicateur;Facteur de performance;Code Interne Sous Indicateur;Libellé Sous Indicateur;Cotation;Unité;Cible;Exécution;Atteinte de la cible;commentaire
2022.0;Programme;Culture;224.0;Soutien aux politiques du ministère de la culture;P224-1;Optimiser l'utilisation des crédits dédiés aux fonctions soutien;1720.0;P224-1-3;Ratio d'efficience bureautique;Contribuable;16531.0;Pour information : Nombre de postes bureautiques;NS;Nombre de postes;4300.0;4050.0;cible atteinte;
2022.0;Programme;Conseil et contrôle de l'État;126.0;Conseil économique, social et environnemental;P126-2;Assurer le bon fonctionnement de l'institution;1370.0;P126-2-1;Assiduité aux réunions;Usager;4467.0;Taux de présence en plénières;NS;%;72.0;79.0;cible atteinte;
2023.0;Mission;Administration générale et territoriale de l'État;;;MAB-5;Améliorer l'efficience de l'administration territoriale de l'État;2350.0;MAB-5-1;Optimisation de l'occupation de l'immobilier de bureau;Contribuable;19551.0;Ratio SUN / ETPT;;m²/effectifs adm.;23.49;21.35;cible atteinte;
2023.0;Programme;Administration générale et territoriale de l'État;354.0;Administration territoriale de l'État;P354-2;Assurer le pilotage stratégique et opérationnel des crises et des politiques de sécurité;270.0;P354-2-2;Taux d'exercices de sécurité civile réalisés sur les sites soumis à PPI;Citoyen;7838.0;Taux d'exercices de sécurité civile réalisés sur les sites soumis à PPI;;%;85.0;68.0;amélioration;
2023.0;Mission;Justice;;;MJA-2;Favoriser la réinsertion;1000.0;MJA-2-1;Pourcentage de personnes placées sous écrou et condamnées bénéficiant d'une mesure sous écrou de DDSE, PE ou SL;Citoyen;24571.0;Indicateur de contexte : pourcentage de SL sous écrou dans le nombre total de personnes écrouées bénéficiant d'une DDSE, d'un PE ou d'une SL;;%;16.0;9.64;amélioration;
2023.0;Programme;Publications officielles et information administrative;623.0;Édition et diffusion;P623-1;Optimiser la production et développer la diffusion des données;7400.0;P623-1-3;Améliorer la productivité et réduire l'impact environnemental;Citoyen;30449.0;Gâche papier en pourcentage de la consommation totale de papier;;%;5.0;2.33;cible atteinte;
2022.0;Programme;Gestion des finances publiques;156.0;Gestion fiscale et financière de l'État et du secteur public local;P156-2;Renforcer la qualité de service au profit des usagers et des partenaires;1900.0;P156-2-1;Proximité de l'administration, relation de confiance, rapidité et qualité de la transmission des informations aux usagers;Usager;24946.0;Indice de satisfaction des applications informatiques évaluées par les usagers;NS;Note sur 10;8.0;8.23;cible atteinte;
2022.0;Programme;Cohésion des territoires;147.0;Politique de la ville;P147-2;Améliorer l'encadrement éducatif et les chances de réussite scolaire des élèves les plus en difficulté;1220.0;P147-2-1;Évolution des chances de réussite scolaire des élèves scolarisés dans un quartier prioritaire de la politique de la ville (QPV);Citoyen;4119.0;Taux de réussite au brevet des collèges des élèves scolarisés en collège REP+ dans un QPV (a);NS;%;81.0;76.9;absence amélioration;
2022.0;Programme;Action extérieure de l'État;185.0;Diplomatie culturelle et d'influence;P185-2;Développer l'attractivité de la France;80.0;P185-2-2;Attractivité touristique de la France;Citoyen;23130.0;Nombre de touristes étrangers en France;NS;millions;;75.0;donnée non renseignée;
2023.0;Programme;Écologie, développement et mobilité durables;203.0;Infrastructures et services de transports;P203-3;Améliorer la régulation dans les transports routiers et développer la part des modes alternatifs à la route;2390.0;P203-3-1;Part modale des transports non routiers;Citoyen;12814.0;Part modale du transport fluvial dans le transport intérieur terrestre de marchandises;;%;;;amélioration;Estimation
2023.0;Programme;Engagements financiers de l'État;114.0;Appels en garantie de l'État (crédits évaluatifs);P114-3;Encourager les PME à prospecter les marchés extérieurs;3100.0;P114-3-1;Taux de retour en fin de période de garantie;Contribuable;8022.0;Taux de retour en fin de période de garantie;;%;50.0;48.9;amélioration;
2023.0;Programme;Travail et emploi;102.0;Accès et retour à l'emploi;P102-3;Mobiliser au mieux les outils d'insertion professionnelle au bénéfice des personnes les plus éloignées du marché du travail;6860.0;P102-3-1;Taux d'insertion dans l'emploi 6 mois après la sortie d'un contrat aidé;Citoyen;30248.0;Taux d'insertion des femmes dans l'emploi à l'issue d'un CAE ou d'un PEC (CUI non marchand);;%;62.0;52.0;amélioration;
2022.0;Programme;Enseignement scolaire;141.0;Enseignement scolaire public du second degré;P141-1;Conduire le maximum de jeunes aux niveaux de compétences attendues en fin de formation initiale et à l'obtention des diplômes correspondants;3300.0;P141-1-3;Écart de taux de réussite au diplôme national du brevet (DNB) entre éducation prioritaire (EP) et hors EP;Citoyen;17850.0;écart entre REP et hors EP;NS;écart entre taux;-4.5;-7.4;donnée non renseignée;
2022.0;Programme;Enseignement scolaire;139.0;Enseignement privé du premier et du second degrés;P139-2;Conduire le maximum de jeunes aux niveaux de compétences attendues en fin de formation initiale et à l'obtention des diplômes correspondants;3520.0;P139-2-3;Taux d'accès au diplôme correspondant des élèves ou apprentis inscrits en première année d'un cycle de formation;Citoyen;20751.0;Taux d'accès au diplôme de CAP des élèves de première année de CAP par la voie scolaire;NS;%;77.0;;donnée non renseignée;
