Mission;Programme;Titre;LFI;LFR;Report_N-1;Mvts_reglementaires;FDC_et_ADP;Fongibilite_asymetrique;Total_CP_Ouverts;Depenses_constatees;Modif_Ouvertures;Modif_Annulations;Report_N+1
Sécurités;Sécurité civile - 161;Autres titres - Autres dépenses;649434752;-12540623;79919260;8607062;23914985,4;6616635;755952071,4;746553991,66;0;3595,74;9394484
Sécurités;Sécurité et éducation routières - 207;Autres titres - Autres dépenses;108879721;-40280000;1002305;38597;550900,36;0;70191523,36;70078388,62;0;113134,74;0
Solidarité, insertion et égalité des chances;Conduite et soutien des politiques sanitaires et sociales - 124;Titre 2 - Dépenses de personnel;450623197;-8758776;2068846;-7467257;3802034,13;0;440268044,13;433864940,64;0;953994,49;5449109
Solidarité, insertion et égalité des chances;Conduite et soutien des politiques sanitaires et sociales - 124;Autres titres - Autres dépenses;904028737;-51800000;34240742;-8769229;11348018,49;0;889048268,49;857302506,96;0;13626577,53;18119184
Solidarité, insertion et égalité des chances;Égalité entre les femmes et les hommes - 137;Autres titres - Autres dépenses;77408682;21550323;904584;-15000;1972044;0;101820633;101061133,78;0;430192,22;329307
Solidarité, insertion et égalité des chances;Handicap et dépendance - 157;Autres titres - Autres dépenses;15381767027;-71198123;3022091;0;5000000;0;15318590995;15315374691,57;0;1488307,43;1727996
Solidarité, insertion et égalité des chances;Inclusion sociale et protection des personnes - 304;Titre 2 - Dépenses de personnel;3400000;-1696779;0;0;0;0;1703221;1686220,94;0;17000,06;0
Solidarité, insertion et égalité des chances;Inclusion sociale et protection des personnes - 304;Autres titres - Autres dépenses;14281658848;8230949;87203237;-27364814;360000;0;14350088220;14321578713,39;0;10163811,61;18345695
Sport, jeunesse et vie associative;Jeunesse et vie associative - 163;Titre 2 - Dépenses de personnel;40952981;-15634987;0;0;0;-7817994;17500000;16601447,09;0;898552,91;0
Sport, jeunesse et vie associative;Jeunesse et vie associative - 163;Autres titres - Autres dépenses;860117860;-142240698;19127124;-2228000;31300207,91;7817994;773894487,91;755916145,32;0;12880405,59;5097937
Sport, jeunesse et vie associative;Jeux olympiques et paralympiques 2024 - 350;Autres titres - Autres dépenses;133650000;0;2571320;87840;0;0;136309160;136095354,5;0;87839,5;125966
Sport, jeunesse et vie associative;Sport - 219;Titre 2 - Dépenses de personnel;129488048;3052486;0;0;0;0;132540534;130915399,44;0;1625134,56;0
Sport, jeunesse et vie associative;Sport - 219;Autres titres - Autres dépenses;645585291;-50514872;106143966;-6873840;13080;0;694353625;508110988,77;0;186229509,23;13127
Transformation et fonction publiques;Conduite et pilotage de la transformation et de la fonction publiques - 368;Titre 2 - Dépenses de personnel;48365748;-469816;0;306397;0;0;48202329;46924714,74;0;1277614,26;0
Transformation et fonction publiques;Fonction publique - 148;Titre 2 - Dépenses de personnel;290000;-110000;0;0;0;0;180000;126097,73;0;53902,27;0
Transformation et fonction publiques;Fonction publique - 148;Autres titres - Autres dépenses;282273995;-20202205;13893484;-2989888;10547945,47;0;283523331,47;264960242,9;0;7111822,57;11451266
Transformation et fonction publiques;Innovation et transformation numériques - 352;Titre 2 - Dépenses de personnel;3000000;-15000;0;-2985000;0;0;0;0;0;0;0
Transformation et fonction publiques;Innovation et transformation numériques - 352;Autres titres - Autres dépenses;71100000;-40732167;3089431;-500000;6460000;0;39417264;32092600,9;0;372820,1;6951843
Transformation et fonction publiques;Performance et résilience des bâtiments de l'État et de ses opérateurs - 348;Autres titres - Autres dépenses;527867705;-56552479;16581456;21884953;0;0;509781635;398901665,17;0;95879969,83;15000000
Transformation et fonction publiques;Transformation publique - 349;Titre 2 - Dépenses de personnel;1500000;-1040000;0;-430000;0;0;30000;0;0;30000;0
Transformation et fonction publiques;Transformation publique - 349;Autres titres - Autres dépenses;161324233;-17125056;30312892;58952;0;0;174571021;170638299,21;0;3271688,79;661033
