Mission;Programme;Titre;LFI;LFR;Report_N-1;Mvts_reglementaires;FDC_et_ADP;Fongibilite_asymetrique;Total_AE_Ouvertes;AE_Consommees;Modif_Ouvertures;Modif_Annulations;Report_N+1
Agriculture, alimentation, forêt et affaires rurales;Conduite et pilotage des politiques de l'agriculture - 215;Titre 2 - Dépenses de personnel;592437770;-55033706;0;3423697;18368,64;-1033953,96;539812175,68;537603175,45;0;2209000,23;0
Agriculture, alimentation, forêt et affaires rurales;Conduite et pilotage des politiques de l'agriculture - 215;Autres titres - Autres dépenses;109734319;-4065466;43656570,33;1057717;13467571,8;1033953,96;164884666,09;77350357,57;0;966757,6;86567550,92
Agriculture, alimentation, forêt et affaires rurales;Sécurité et qualité sanitaires de l'alimentation - 206;Titre 2 - Dépenses de personnel;390422289;-30008400;0;70000;0;0;360483889;358214381,42;0;2269507,58;0
Agriculture, alimentation, forêt et affaires rurales;Sécurité et qualité sanitaires de l'alimentation - 206;Autres titres - Autres dépenses;645694407;-59822934;176874039,69;-7356201;35225529,11;0;790614840,8;704790093,44;0;37672874,16;48151873,2
Aide publique au développement;Aide économique et financière au développement - 110;Autres titres - Autres dépenses;2787128248;-502050952;143569232;9537400;0;0;2438183928;1862333012,07;0;575850915,93;0
Aide publique au développement;Renforcement des fonds propres de l'Agence française de développement - 365;Autres titres - Autres dépenses;150000000;0;0;0;0;0;150000000;150000000;0;0;0
Aide publique au développement;Restitution des "biens mal acquis" - 370;Autres titres - Autres dépenses;6100806;0;0;0;0;0;6100806;0;0;0;6100806
Aide publique au développement;Solidarité à l'égard des pays en développement - 209;Titre 2 - Dépenses de personnel;169447597;-2915795;0;350000;0;0;166881802;163395195,12;0;3486606,88;0
Aide publique au développement;Solidarité à l'égard des pays en développement - 209;Autres titres - Autres dépenses;3179937547;-557000000;7419024;728920;4758427,4;0;2635843918,4;2582118120,92;0;46700214,48;7025583
Anciens combattants, mémoire et liens avec la Nation;Indemnisation des victimes des persécutions antisémites et des actes de barbarie pendant la seconde guerre mondiale - 158;Titre 2 - Dépenses de personnel;1467031;-9135;0;0;0;0;1457896;1436733,7;0;21162,3;0
Anciens combattants, mémoire et liens avec la Nation;Indemnisation des victimes des persécutions antisémites et des actes de barbarie pendant la seconde guerre mondiale - 158;Autres titres - Autres dépenses;86673804;-9551402;1970682;0;0;0;79093084;75376198,68;0;3716885,32;0
Anciens combattants, mémoire et liens avec la Nation;Reconnaissance et réparation en faveur du monde combattant, mémoire et liens avec la Nation - 169;Autres titres - Autres dépenses;1830156624;34776891;6725242;18060002;25796319,74;0;1915515078,74;1895894301,74;0;543586;19077191
Cohésion des territoires;Aide à l'accès au logement - 109;Autres titres - Autres dépenses;13656400000;-524191058;0;0;0;0;13132208942;13102208733;0;30000209;0
Cohésion des territoires;Hébergement, parcours vers le logement et insertion des personnes vulnérables - 177;Autres titres - Autres dépenses;2900915926;250000000;28439071;2725298;150000;0;3182230295;3103544920,26;0;13263679,74;65421695
Cohésion des territoires;Impulsion et coordination de la politique d'aménagement du territoire - 112;Titre 2 - Dépenses de personnel;8000000;-2333674;0;-603980;0;-655853,71;4406492,29;4192740,06;0;213752,23;0
Cohésion des territoires;Impulsion et coordination de la politique d'aménagement du territoire - 112;Autres titres - Autres dépenses;389931467;-43814412;4014975;15677310;49058224,86;655853,71;415523418,57;392562679,72;0;14802846,85;8157892
Cohésion des territoires;Interventions territoriales de l'État - 162;Autres titres - Autres dépenses;80646350;-5766216;22198445,34;14622222;38988650;0;150689451,34;103504947,61;0;2740390,75;44444112,98
Cohésion des territoires;Politique de la ville - 147;Titre 2 - Dépenses de personnel;18871649;-1397930;0;-14771540;0;-1168726,27;1533452,73;1387402;0;146050,73;0
Cohésion des territoires;Politique de la ville - 147;Autres titres - Autres dépenses;620657504;-99064685;32060;13755000;520000;1168726,27;537068605,27;522495133,86;0;9573471,41;5000000
Cohésion des territoires;Urbanisme, territoires et amélioration de l'habitat - 135;Autres titres - Autres dépenses;1917861469;-661000515;75866281;282272;436719508,88;0;1769729015,88;1466036649,04;0;50969222,84;252723144
Conseil et contrôle de l'État;Conseil d'État et autres juridictions administratives - 165;Titre 2 - Dépenses de personnel;436743672;-8278983;0;-601266;22867;0;427886290;424297546,56;0;3588743,44;0
Conseil et contrôle de l'État;Conseil d'État et autres juridictions administratives - 165;Autres titres - Autres dépenses;82389535;-14495082;64779018,54;-801439;54427,58;0;131926460,12;95338762,99;0;2922416,21;33665280,92
Conseil et contrôle de l'État;Conseil économique, social et environnemental - 126;Titre 2 - Dépenses de personnel;35829665;19312;0;0;0;0;35848977;35669828;0;179149;0
Conseil et contrôle de l'État;Conseil économique, social et environnemental - 126;Autres titres - Autres dépenses;9077507;1195641;275325;0;0;0;10548473;10548473;0;0;0
Conseil et contrôle de l'État;Cour des comptes et autres juridictions financières - 164;Titre 2 - Dépenses de personnel;227855284;-1115080;0;-2000000;40748,73;0;224780952,73;222714540,44;0;2066412,29;0
Conseil et contrôle de l'État;Cour des comptes et autres juridictions financières - 164;Autres titres - Autres dépenses;26624661;-5589927;5735715,44;-58910;4705054,95;0;31416594,39;28190483,68;0;1202038,71;2024072
Crédits non répartis;Dépenses accidentelles et imprévisibles - 552;Autres titres - Autres dépenses;525000000;-50000000;0;-290326344;0;0;184673656;0;0;184673656;0
Crédits non répartis;Provision relative aux rémunérations publiques - 551;Titre 2 - Dépenses de personnel;285526298;0;0;-75975617;0;0;209550681;0;0;209550681;0
Culture;Création - 131;Autres titres - Autres dépenses;1032880129;-98051590;1182973,56;28113660;113363,36;0;964238535,92;948174882,35;0;15193294,48;870359,09
Culture;Patrimoines - 175;Autres titres - Autres dépenses;1479417348;-99540106;135676982,75;53980834;112340782,57;0;1681875841,32;1527938706,78;0;32339679,59;121597454,95
Culture;Soutien aux politiques du ministère de la culture - 224;Titre 2 - Dépenses de personnel;733781426;-1663905;0;-207875;9605,75;0;731919251,75;730395354,39;0;1523897,36;0
Culture;Soutien aux politiques du ministère de la culture - 224;Autres titres - Autres dépenses;112400388;-4689783;1243264;-5266635;930473,6;0;104617707,6;103814094,74;0;793611,86;10001
Culture;Transmission des savoirs et démocratisation de la culture - 361;Autres titres - Autres dépenses;829582796;-27414873;19468688;13347852;536641,04;0;835521104,04;806993868,44;0;24642235,6;3885000
Défense;Environnement et prospective de la politique de défense - 144;Autres titres - Autres dépenses;2198423067;-33000000;1242403225,38;82135578;1146012,13;0;3491107882,51;2883338475,86;0;251694574,16;356074832,49
Défense;Équipement des forces - 146;Autres titres - Autres dépenses;24392909032;-531950812;29000986171,06;-12069956;645340147,7;0;53495214582,76;16609233627,76;0;71746350,67;36814234604,33
Défense;Préparation et emploi des forces - 178;Autres titres - Autres dépenses;16569476955;677000000;1865982247,48;-12031052;517527680,87;0;19617955831,35;16212510175,84;0;3218,3;3405442437,21
Défense;Soutien de la politique de la défense - 212;Titre 2 - Dépenses de personnel;23205361658;-305752151;0;179106;275517991,14;-1719144;23173587460,14;23171355954,64;0;2231505,5;0
Défense;Soutien de la politique de la défense - 212;Autres titres - Autres dépenses;1474950629;-40683800;53587237,87;-5773333;10920478,08;1719144;1494720355,95;1334510231,06;0;152529901,5;7680223,39
Direction de l'action du Gouvernement;Coordination du travail gouvernemental - 129;Titre 2 - Dépenses de personnel;293331006;-9803857;1126175;4013359;1564906,22;0;290231589,22;284096803,54;0;4744228,68;1390557
Direction de l'action du Gouvernement;Coordination du travail gouvernemental - 129;Autres titres - Autres dépenses;588362803;-48300535;80706295,93;-42508885;55814299,63;0;634073978,56;558251316,17;0;7428665,39;68393997
Direction de l'action du Gouvernement;Protection des droits et libertés - 308;Titre 2 - Dépenses de personnel;63729867;-1269530;0;0;0;0;62460337;61468825,55;0;991511,45;0
Direction de l'action du Gouvernement;Protection des droits et libertés - 308;Autres titres - Autres dépenses;75721834;-6131153;197852;2706381;0;0;72494914;71687841,91;0;189090,09;617982
Écologie, développement et mobilité durables;Affaires maritimes, pêche et aquaculture - 205;Autres titres - Autres dépenses;349883004;-19769622;7001954;-426004;7574302,54;0;344263634,54;338766057,14;0;1409133,4;4088444
Écologie, développement et mobilité durables;Conduite et pilotage des politiques de l'écologie, du développement et de la mobilité durables - 217;Titre 2 - Dépenses de personnel;2831100179;1289383;15003;-1764188;9343994,07;0;2839984371,07;2829145217,27;0;10839153,8;0
