Numero_de_depense_fiscale;Libelle_de_la_depense_fiscale;Impot;Mission_principale;Numero_de_programme_principal;Libelle_de_programme_principal;Mission_subsidiaire_n°1;Numero_de_programme_subsidiaire_n°1;Libelle_de_programme_subsidiaire_n°1;Mission_subsidiaire_n°2;Numero_de_programme_subsidiaire_n°2;Libelle_de_programme_subsidiaire_n°2;Montant_N-1_definitif_(millions);Montant_N_initial_(millions);Montant_N_actualise_(millions)
300111;Exonération des bénéfices réalisés par les sociétés créées pour reprendre une entreprise ou des établissements industriels en difficulté;Impôt sur les sociétés;Économie;134;Développement des entreprises et régulations;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;2;-;-
300201;Exonération des revenus patrimoniaux des établissements publics scientifiques, d'enseignement et d'assistance pour leurs revenus fonciers agricoles et mobiliers;Impôt sur les sociétés;Recherche et enseignement supérieur;142;Enseignement supérieur et recherche agricoles;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;nc;nc;nc
300203;Exonération des sociétés de capital-risque (SCR);Impôt sur les sociétés;Économie;134;Développement des entreprises et régulations;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;245;nc;98
300204;Exonération d'impôt sur les sociétés de la valeur nette de l'avantage en nature consenti par les personnes morales qui ont pour objet de transférer gratuitement à leurs membres la jouissance d'un bien meuble ou immeuble;Impôt sur les sociétés;Économie;134;Développement des entreprises et régulations;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;nc;nc;nc
300206;Exonérations des produits retirés par les sociétés d'investissements immobiliers cotées, ainsi que par leurs filiales ou des filiales de sociétés de placement à prépondérance immobilière à capital variable ou des filiales conjointes de ces dernières sociétés, et provenant de la location d'immeubles, de la sous-location des immeubles pris en crédit bail ou dont la jouissance a été conférée à titre temporaire par l'Etat, une collectivité territoriale ou leurs établissements publics, de certains droits réels immobiliers et de certaines plus-values de cession;Impôt sur les sociétés;Économie;134;Développement des entreprises et régulations;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;814;nc;485
300208;Exonération des établissements publics de recherche, des établissements publics d'enseignement supérieur, des personnes morales créées pour la gestion d'un pôle de recherche et d'enseignement supérieur et des fondations d'utilité publique du secteur de la recherche pour leurs revenus tirés d'activités relevant d'une mission de service public;Impôt sur les sociétés;Recherche et enseignement supérieur;172;Recherches scientifiques et technologiques pluridisciplinaires;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;nc;nc;nc
300209;Exonération des droits d'adhésion perçus par les sociétés d'assurance mutuelles;Impôt sur les sociétés;Engagements financiers de l'État;145;Épargne;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;3;6;3
300210;Exonération des sociétés de placement à prépondérance immobilière à capital variable (SPPICAV);Impôt sur les sociétés;Engagements financiers de l'État;145;Épargne;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;525;520;600
300211;Exonération en matière d'impôt sur les sociétés des revenus patrimoniaux perçus par les fondations reconnues d'utilité publique et les fonds de dotation au titre des activités non lucratives;Impôt sur les sociétés;Sport, jeunesse et vie associative;163;Jeunesse et vie associative;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;132;126;132
300303;Exonération, sur agrément, des bénéfices réinvestis dans l'entreprise pour les sociétés de recherche et d'exploitation minière dans les départements d'outre-mer;Impôt sur les sociétés;Outre-mer;138;Emploi outre-mer;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;1;1;1
310206;Amortissement exceptionnel sur cinq ans des investissements réalisés dans les petites et moyennes entreprises innovantes;Impôt sur les sociétés;Recherche et enseignement supérieur;192;Recherche et enseignement supérieur en matière économique et industrielle;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;1;1;1
320105;Taxation à taux réduit de certains revenus mobiliers perçus par des organismes sans but lucratif;Impôt sur les sociétés;Sport, jeunesse et vie associative;163;Jeunesse et vie associative;Cohésion des territoires;177;Hébergement, parcours vers le logement et insertion des personnes vulnérables;Sans objet;Sans objet;Sans objet;55;51;56
320113;Déduction des investissements productifs réalisés dans les départements et collectivités d'outre-mer et des souscriptions au capital de sociétés qui réalisent de tels investissements;Impôt sur les sociétés;Outre-mer;123;Conditions de vie outre-mer;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;19;17;15
320115;Non-assujettissement à l'impôt sur les sociétés des résultats des activités des associations conventionnées (art. L. 5132-7 du code du travail) et des associations de services aux personnes agréées (art. L. 7232-1 du code du travail) ou autorisées (art. L. 313-1 du code de l'action sociale et des familles) et taxation au taux réduit des revenus de leur patrimoine foncier, agricole et mobilier;Impôt sur les sociétés;Travail et emploi;103;Accompagnement des mutations économiques et développement de l'emploi;Solidarité, insertion et égalité des chances;157;Handicap et dépendance;Sans objet;Sans objet;Sans objet;21;24;21
320116;Franchise d'impôt sur les sociétés pour les activités lucratives accessoires de certains organismes sans but lucratif lorsque les recettes correspondantes n'excèdent pas une limite indexée, chaque année, sur la prévision de l'indice des prix à la consommation, hors tabac, retenue dans le projet de loi de finances;Impôt sur les sociétés;Sport, jeunesse et vie associative;163;Jeunesse et vie associative;Cohésion des territoires;177;Hébergement, parcours vers le logement et insertion des personnes vulnérables;Sans objet;Sans objet;Sans objet;nc;nc;nc
320118;Réduction d'impôt sur les sociétés pour les entreprises ayant effectué des versements en faveur de l'achat de Trésors Nationaux et autres biens culturels spécifiques;Impôt sur les sociétés;Culture;175;Patrimoines;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;45;N/A;1
320119;Détermination du résultat imposable des entreprises de transport maritime en fonction du tonnage de leurs navires;Impôt sur les sociétés;Écologie, développement et mobilité durables;205;Affaires maritimes, pêche et aquaculture;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;5615;1100;615
320121;Crédit d'impôt pour dépenses de production d'oeuvres cinématographiques;Impôt sur les sociétés;Médias, livre et industries culturelles;334;Livre et industries culturelles;Culture;131;Création;Sans objet;Sans objet;Sans objet;109;132;152
320122;Déduction pour les groupements d'employeurs des sommes inscrites à un compte d'affectation spéciale et destinées à couvrir leur responsabilité solidaire pour le paiement des dettes salariales;Impôt sur les sociétés;Agriculture, alimentation, forêt et affaires rurales;149;Compétitivité et durabilité de l'agriculture, de l'agroalimentaire et de la forêt;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;ε;8;ε
320128;Crédit d'impôt pour la production phonographique;Impôt sur les sociétés;Médias, livre et industries culturelles;334;Livre et industries culturelles;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;26;27;31
320129;Crédit d'impôt pour dépenses de production d'oeuvres audiovisuelles;Impôt sur les sociétés;Médias, livre et industries culturelles;334;Livre et industries culturelles;Culture;131;Création;Sans objet;Sans objet;Sans objet;170;190;224
320131;Réduction d’impôt pour souscription au capital des sociétés de presse;Impôt sur les sociétés;Médias, livre et industries culturelles;180;Presse et médias;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;ε;ε;ε
320134;Crédit d'impôt pour le rachat des entreprises par les salariés;Impôt sur les sociétés;Économie;134;Développement des entreprises et régulations;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;ε;1;-
320135;Crédit d'impôt pour les entreprises de création de jeux vidéos;Impôt sur les sociétés;Économie;134;Développement des entreprises et régulations;Culture;131;Création;Sans objet;Sans objet;Sans objet;37;60;66
320136;Crédit d’impôt à raison des investissements effectués dans le secteur du logement social dans les départements d’outre-mer;Impôt sur les sociétés;Outre-mer;123;Conditions de vie outre-mer;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;182;192;182
320138;Déduction de la part des excédents mis en réserves impartageables par les sociétés coopératives d'intérêt collectif;Impôt sur les sociétés;Économie;134;Développement des entreprises et régulations;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;ε;1;ε
320140;Crédit d'impôt pour dépenses de production exécutive d'œuvres cinématographiques et audiovisuelles étrangères;Impôt sur les sociétés;Médias, livre et industries culturelles;334;Livre et industries culturelles;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;193;205;210
320141;Imposition au taux réduit de 19 % des plus-values de cession de locaux professionnels ou de terrains à bâtir, situés dans les zones les plus tendues, au profit d’une personne morale, sous réserve que le cessionnaire s’engage à transformer ces immeubles en locaux dont la surface d’habitation représente au moins 75% ou à y construire de tels locaux dans un délai de 4 ans, ou un délai de 6 ans s’agissant des programmes immobiliers les plus importants. Une prolongation de ce délai, n’excédant pas une année et renouvelable une fois, peut être accordée sur demande de l’acquéreur;Impôt sur les sociétés;Économie;134;Développement des entreprises et régulations;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;10;10;10
320142;Crédit d'impôt pour dépenses de production de spectacles vivants;Impôt sur les sociétés;Culture;131;Création;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;34;17;42
320143;Réduction d'impôt pour mise à disposition d'une flotte de vélos;Impôt sur les sociétés;Écologie, développement et mobilité durables;203;Infrastructures et services de transports;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;2;2;2
320144;Crédit d'impôt pour dépenses de création audiovisuelle et cinématographique, redevances versées aux organismes de gestion collective et rémunérations versées directement aux auteurs;Impôt sur les sociétés;Médias, livre et industries culturelles;334;Livre et industries culturelles;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;1;-;-
320145;Crédit d'impôt en faveur des représentations théâtrales d'œuvres dramatiques ou de cirques;Impôt sur les sociétés;Culture;131;Création;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;2;ε;2
320146;Réduction d’impôt sur les sociétés à raison des investissements productifs neufs et des investissements dans le secteur du logement intermédiaire et social réalisés dans les collectivités d’outre-mer et en Nouvelle-Calédonie;Impôt sur les sociétés;Outre-mer;123;Conditions de vie outre-mer;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;6;nc;6
320147;Créance à l’impôt sur les sociétés en faveur des investisseurs institutionnels qui détiennent des logements locatifs intermédiaires;Impôt sur les sociétés;Cohésion des territoires;135;Urbanisme, territoires et amélioration de l'habitat;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;-;-;-
320148;Crédit d’impôt pour dépenses d’édition d’œuvres musicales;Impôt sur les sociétés;Médias, livre et industries culturelles;334;Livre et industries culturelles;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;ε;6;1
430101;Exonération des retenues à la source prévues aux c et b du I de l'article 182 B du CGI et à l'article 119 bis du CGI à raison des bénéfices réalisés en France et des revenus de source française perçus par des organismes chargés de l'organisation en France d'une compétition sportive internationale et de leurs filiales, directement liés à l'organisation de la compétition sportive internationale;Autres impôts directs;Sport, jeunesse et vie associative;219;Sport;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;1;1;1
440101;Exonération des immeubles affectés à l'activité professionnelle principale du redevable ou à l’activité opérationnelle de l’entreprise dans laquelle le redevable exerce son activité professionnelle principale;Autres impôts directs;Économie;134;Développement des entreprises et régulations;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;nc;nc;nc
440102;Exonération partielle des bois et forêts, des parts de groupement forestier, des biens ruraux loués par bail à long terme et des parts de GFA;Autres impôts directs;Agriculture, alimentation, forêt et affaires rurales;149;Compétitivité et durabilité de l'agriculture, de l'agroalimentaire et de la forêt;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;44;48;46
440103;Limitation de l'imposition à l'IFI à raison des seuls biens situés en France des personnes qui n'ont pas été fiscalement domiciliées en France au cours des cinq années civiles précédant celle au cours de laquelle elles ont élu domicile en France;Autres impôts directs;Économie;134;Développement des entreprises et régulations;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;8;9;8
440104;Exonération en faveur des petits porteurs détenant moins de 5% du capital ou des droits de vote d'une société d'investissements immobiliers cotée (SIIC);Autres impôts directs;Économie;134;Développement des entreprises et régulations;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;nc;nc;nc
440201;Réduction d'impôt au titre de certains dons;Autres impôts directs;Sport, jeunesse et vie associative;163;Jeunesse et vie associative;Recherche et enseignement supérieur;150;Formations supérieures et recherche universitaire;Sans objet;Sans objet;Sans objet;141;147;151
500101;Exonération de droits d'enregistrement et de timbre des sociétés coopératives agricoles de céréales, d'insémination artificielle et d'utilisation de matériel agricole;Droits d'enregistrement et de timbre;Agriculture, alimentation, forêt et affaires rurales;149;Compétitivité et durabilité de l'agriculture, de l'agroalimentaire et de la forêt;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;nc;nc;nc
500102;Réduction de 50 % des tarifs des droits d'enregistrement et de timbre en Guyane;Droits d'enregistrement et de timbre;Outre-mer;123;Conditions de vie outre-mer;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;8;7;7
510101;Exonération des mutations à titre gratuit ou onéreux portant sur des oeuvres d'art, livres, objets de collection ou documents de haute valeur artistique ou historique et agréés, dont le nouveau propriétaire fait don à l'Etat;Droits d'enregistrement et de timbre;Culture;175;Patrimoines;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;N/A;N/A;N/A
520104;Exonération des mutations en faveur de certaines collectivités locales, de certains organismes, établissements publics ou d'utilité publique, ou de personnes morales ou d'organismes étrangers situés dans un Etat membre de l'Union européenne ou partie à l'Espace économique européen dont les objectifs et caractéristiques sont similaires;Droits d'enregistrement et de timbre;Sport, jeunesse et vie associative;163;Jeunesse et vie associative;Cohésion des territoires;177;Hébergement, parcours vers le logement et insertion des personnes vulnérables;Sans objet;Sans objet;Sans objet;nc;nc;nc
520105;Exonération des monuments historiques classés ou inscrits et des parts de SCI familiales détenant des biens de cette nature;Droits d'enregistrement et de timbre;Culture;175;Patrimoines;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;1;1;1
520107;Exonération sous certaines conditions et dans certaines limites des immeubles neufs acquis entre le 1er juin 1993 et le 31 décembre 1994 ou entre le 1er août et le 31 décembre 1995, et des immeubles anciens acquis entre le 1er août 1995 et le 31 décembre 1996;Droits d'enregistrement et de timbre;Cohésion des territoires;135;Urbanisme, territoires et amélioration de l'habitat;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;nc;nc;nc
520108;Exonération de droits de mutation pour les successions des victimes d'opérations militaires ou d'actes de terrorisme;Droits d'enregistrement et de timbre;Anciens combattants, mémoire et liens avec la Nation;169;Reconnaissance et réparation en faveur du monde combattant, mémoire et liens avec la Nation;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;nc;nc;nc
520109;Exonération partielle de droits de mutation des bois et forêts, des sommes déposées sur un compte d'investissement forestier et d'assurance (CIFA), des parts d'intérêts détenues dans un groupement forestier, des biens ruraux loués par bail à long terme, des parts de GFA et de la fraction des parts de groupements forestiers ruraux représentative de biens de nature forestière et celle représentative de biens de nature agricole;Droits d'enregistrement et de timbre;Agriculture, alimentation, forêt et affaires rurales;149;Compétitivité et durabilité de l'agriculture, de l'agroalimentaire et de la forêt;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;50;50;50
520110;Exonération partielle, sous certaines conditions, de droits de mutation à titre gratuit lors de la transmission d'entreprises exploitées sous la forme individuelle ou détenues sous forme sociale;Droits d'enregistrement et de timbre;Économie;134;Développement des entreprises et régulations;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;800;500;800
520111;Exonération des dons et legs consentis à des associations d'utilité publique de protection de l'environnement et de défense des animaux;Droits d'enregistrement et de timbre;Écologie, développement et mobilité durables;217;Conduite et pilotage des politiques de l'écologie, du développement et de la mobilité durables;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;1;1;1
520112;Exonération temporaire des mutations par décès portant sur des immeubles et des droits immobiliers situés en Corse;Droits d'enregistrement et de timbre;Cohésion des territoires;112;Impulsion et coordination de la politique d'aménagement du territoire;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;20;20;20
520114;Abattement sur la part nette de l'héritier à concurrence du montant des dons effectués au profit de fondations, de certaines associations, de certains organismes reconnus d'utilité publique, des organismes mentionnés à l'article 794 du C.G.I., de l'Etat et de ses établissements publics;Droits d'enregistrement et de timbre;Sport, jeunesse et vie associative;163;Jeunesse et vie associative;Cohésion des territoires;177;Hébergement, parcours vers le logement et insertion des personnes vulnérables;Sans objet;Sans objet;Sans objet;1;1;1
520116;Exonération de droits de mutation des successions des sapeurs-pompiers décédés en opération de secours et des personnes décédées dans l’exercice de missions de sécurité civile;Droits d'enregistrement et de timbre;Sécurités;161;Sécurité civile;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;ε;ε;ε
520118;Exonération, sous certaines conditions, de droits de mutation à titre gratuit, à concurrence des trois quarts de leur montant, en faveur des successions et donations intéressant les propriétés non bâties qui ne sont pas de nature de bois et forêts et situées dans les sites NATURA 2000, les zones centrales des parcs nationaux, les réserves naturelles, les sites classés et les espaces naturels remarquables du littoral;Droits d'enregistrement et de timbre;Écologie, développement et mobilité durables;113;Paysages, eau et biodiversité;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;12;10;12
520121;Exonération au bénéfice du donataire des dons ouvrant droit, pour le donateur, à la réduction d'impôt sur la fortune immobilière;Droits d'enregistrement et de timbre;Sport, jeunesse et vie associative;163;Jeunesse et vie associative;Recherche et enseignement supérieur;150;Formations supérieures et recherche universitaire;Sans objet;Sans objet;Sans objet;98;90;98
520122;Exonération de droits de mutation des successions des policiers, des gendarmes et des agents des douanes décédés dans l'accomplissement de leur mission;Droits d'enregistrement et de timbre;Sécurités;176;Police nationale;Sécurités;152;Gendarmerie nationale;Sans objet;Sans objet;Sans objet;ε;ε;ε
520123;Exonération de droits de succession sur les immeubles non bâtis ou les droits portant sur ces immeubles, de faible valeur et indivis au sein d'une parcelle cadastrale, pour lesquels le droit de propriété du défunt n'a pas été constaté avant son décès, sous condition de reconstitution des titres de propriété;Droits d'enregistrement et de timbre;Cohésion des territoires;112;Impulsion et coordination de la politique d'aménagement du territoire;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;nc;nc;nc
520126;Exonération partielle de droits de mutation à titre gratuit des immeubles et droits immobiliers, à concurrence de 50 % de leur valeur, à raison de la première transmission à titre gratuit postérieure à la reconstitution des titres de propriété y afférents et régulièrement constatés entre le 1er octobre 2014 et la 31 décembre 2027;Droits d'enregistrement et de timbre;Cohésion des territoires;112;Impulsion et coordination de la politique d'aménagement du territoire;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;nc;nc;nc
520127;Exonération de droits de mutation des dons en numéraires reçus par les victimes d'actes terroristes ou, en cas de décès, par leurs proches et des dons numéraires reçus par les militaires, policiers, gendarmes, sapeurs-pompiers ou agents des douanes blessés en opération ou, en cas de décès, par leurs proches;Droits d'enregistrement et de timbre;Justice;101;Accès au droit et à la justice;Sécurités;152;Gendarmerie nationale;Sécurités;161;Sécurité civile;nc;nc;nc
520128;Exonération temporaire de certaines mutations portant sur les immeubles et les droits immobiliers situés à Mayotte réalisées entre le 1er janvier 2018 et le 31 décembre 2025;Droits d'enregistrement et de timbre;Outre-mer;123;Conditions de vie outre-mer;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;nc;nc;nc
520130;Exonération de droits de mutation par décès de la transmission résultant des restitutions aux ayants-droit du défunt des biens qui lui ont été spoliés dans le contexte des persécutions antisémites perpétrées entre le 30 janvier 1933 et le 8 mai 1945;Droits d'enregistrement et de timbre;Anciens combattants, mémoire et liens avec la Nation;158;Indemnisation des victimes des persécutions antisémites et des actes de barbarie pendant la seconde guerre mondiale;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;-;création;nc
520201;Abattement effectué sur l'actif taxable aux droits de mutation revenant à tout héritier, légataire ou donataire handicapé physique ou mental;Droits d'enregistrement et de timbre;Solidarité, insertion et égalité des chances;157;Handicap et dépendance;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;100;100;100
520209;Abattement de 500 000 € sur la valeur du fonds ou de la clientèle d’une entreprise individuelle ou de parts ou actions de société pour la liquidation des droits de mutation à titre gratuit en cas de donations aux salariés;Droits d'enregistrement et de timbre;Économie;134;Développement des entreprises et régulations;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;nc;nc;nc
520302;Réduction de droits en raison de la qualité du donataire ou de l'héritier (mutilé, etc.);Droits d'enregistrement et de timbre;Anciens combattants, mémoire et liens avec la Nation;169;Reconnaissance et réparation en faveur du monde combattant, mémoire et liens avec la Nation;Solidarité, insertion et égalité des chances;157;Handicap et dépendance;Sans objet;Sans objet;Sans objet;ε;ε;ε
520401;Déduction de l'actif successoral des rentes ou indemnités versées ou dues en réparation de dommages corporels liés à un accident ou une maladie;Droits d'enregistrement et de timbre;Santé;183;Protection maladie;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;nc;nc;nc
520402;Déduction de l'actif successoral des frais de reconstitution de titres de propriété d'immeubles ou de droits immobiliers pour lesquels le droit de propriété du défunt n'a pas été constaté avant son décès, sous condition de reconstitution des titres de propriété;Droits d'enregistrement et de timbre;Cohésion des territoires;112;Impulsion et coordination de la politique d'aménagement du territoire;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;nc;nc;nc
520403;Déduction de la valeur déclarée d'immeubles ou de droits immobiliers transmis par donation, des frais de reconstitution des titres de propriété y afférents engagés dans les vingt-quatre mois précédant la donation et mis à la charge du donateur par le notaire, sous condition de reconstitution des titres de propriété.;Droits d'enregistrement et de timbre;Cohésion des territoires;112;Impulsion et coordination de la politique d'aménagement du territoire;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;nc;nc;nc
530101;Application d’un droit fixe de 125 € pour les transferts de biens de toute nature opérés entre organismes HLM, sociétés de crédit immobilier ou leurs unions, sociétés d’économie mixte exerçant une activité de construction ou de gestion dans le secteur du logement social au sens de l’article L. 411-1 du code de la construction et de l’habitation et organismes bénéficiant de l’agrément maîtrise d’ouvrage (article L. 365-2 du code de la construction et de l’habitation);Droits d'enregistrement et de timbre;Cohésion des territoires;135;Urbanisme, territoires et amélioration de l'habitat;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;nc;nc;nc
530102;Application d'un droit fixe au lieu de la taxe de publicité foncière sur la transmission de biens appartenant à un organisme d'intérêt public au profit d'un établissement reconnu d'utilité publique effectuée dans un but d'intérêt général ou de bonne administration;Droits d'enregistrement et de timbre;Économie;305;Stratégies économiques;Cohésion des territoires;177;Hébergement, parcours vers le logement et insertion des personnes vulnérables;Sans objet;Sans objet;Sans objet;nc;nc;nc
530202;Exonération des acquisitions d'actions de sociétés d'économie mixte et de fonds de commerce par les collectivités locales ou certains établissements publics;Droits d'enregistrement et de timbre;Cohésion des territoires;135;Urbanisme, territoires et amélioration de l'habitat;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;nc;nc;nc
530203;Exonération des cessions de parts de fonds communs de placement à risques, de certains fonds professionnels spécialisés, de fonds professionnels de capital investissement et de sociétés de libre partenariat;Droits d'enregistrement et de timbre;Économie;134;Développement des entreprises et régulations;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;43;40;43
530206;Exonération du droit budgétaire de 2 % de mutation pour les acquisitions de fonds de commerce dans certaines zones prioritaires d'aménagement du territoire;Droits d'enregistrement et de timbre;Cohésion des territoires;112;Impulsion et coordination de la politique d'aménagement du territoire;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;nc;nc;nc
530207;Application du droit d’enregistrement de 0,1 % pour les actes constatant les cessions d’actions de sociétés d’économie mixte exerçant une activité de construction ou de gestion de logements sociaux, d’organismes d’HLM ou de certaines sociétés foncières solidaires;Droits d'enregistrement et de timbre;Cohésion des territoires;135;Urbanisme, territoires et amélioration de l'habitat;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;48;4;6
530208;Exonération des acquisitions et des cessions réalisées par les SAFER.;Droits d'enregistrement et de timbre;Agriculture, alimentation, forêt et affaires rurales;149;Compétitivité et durabilité de l'agriculture, de l'agroalimentaire et de la forêt;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;2;2;2
530212;Application d’un abattement de 500 000 € sur la valeur du fonds ou de la clientèle en cas de cession en pleine propriété de fonds artisanaux, de fonds de commerce, de fonds agricoles ou de clientèles d’une entreprise individuelle ou de parts ou actions de société;Droits d'enregistrement et de timbre;Économie;134;Développement des entreprises et régulations;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;nc;nc;nc
530213;Exonération des cessions de droits sociaux résultant des opérations de pension portant sur des titres financiers;Droits d'enregistrement et de timbre;Engagements financiers de l'État;145;Épargne;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;nc;nc;nc
530214;Exonération des acquisitions de droits sociaux réalisées dans le cadre du rachat de ses propres titres par une société destinés à être cédés aux adhérents d’un plan d’épargne entreprise;Droits d'enregistrement et de timbre;Engagements financiers de l'État;145;Épargne;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;nc;nc;nc
530215;Exonération des acquisitions de droits sociaux de sociétés en difficulté ou entre sociétés d’un même groupe;Droits d'enregistrement et de timbre;Économie;134;Développement des entreprises et régulations;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;nc;nc;nc
530216;Régimes spéciaux bénéficiant aux groupements et sociétés à objet agricole;Droits d'enregistrement et de timbre;Agriculture, alimentation, forêt et affaires rurales;149;Compétitivité et durabilité de l'agriculture, de l'agroalimentaire et de la forêt;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;nc;nc;nc
530217;Exonération des cessions de fonds agricoles;Droits d'enregistrement et de timbre;Agriculture, alimentation, forêt et affaires rurales;149;Compétitivité et durabilité de l'agriculture, de l'agroalimentaire et de la forêt;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;nc;nc;nc
530218;Exonération des cessions de parts ou d’actions des organismes de placement collectif immobilier et des organismes professionnels de placement collectif immobilier;Droits d'enregistrement et de timbre;Engagements financiers de l'État;145;Épargne;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;nc;nc;nc
550102;Exonération du droit de 2,50% sur les actes de partage des copropriétés;Droits d'enregistrement et de timbre;Cohésion des territoires;135;Urbanisme, territoires et amélioration de l'habitat;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;ε;ε;ε
550104;Exonération du droit de partage de 2,5 % pour les actes de partage de succession et les licitations de biens héréditaires survenus entre le 1er janvier 2017 et le 31 décembre 2027 à hauteur de la valeur des immeubles situés en Corse;Droits d'enregistrement et de timbre;Cohésion des territoires;112;Impulsion et coordination de la politique d'aménagement du territoire;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;nc;nc;nc
550105;Exonération du droit de partage de 2,5% à hauteur de la valeur des immeubles situés dans les collectivités régies par l'article 73 de la Constitution, dans les collectivités de Saint-Barthélemy, de Saint-Martin et de Saint-Pierre-et-Miquelon pour les partages de succession et les licitations de biens héréditaires établis entre le 1er janvier 2018 et le 31 décembre 2038;Droits d'enregistrement et de timbre;Outre-mer;123;Conditions de vie outre-mer;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;nc;nc;nc
