Numero_de_depense_fiscale;Libelle_de_la_depense_fiscale;Impot;Mission_principale;Numero_de_programme_principal;Libelle_de_programme_principal;Mission_subsidiaire_n°1;Numero_de_programme_subsidiaire_n°1;Libelle_de_programme_subsidiaire_n°1;Mission_subsidiaire_n°2;Numero_de_programme_subsidiaire_n°2;Libelle_de_programme_subsidiaire_n°2;Montant_N-1_definitif_(millions);Montant_N_initial_(millions);Montant_N_actualise_(millions)
110252;Réduction d'impôt sur le revenu majorée en faveur de l'investissement locatif du 1er janvier 2009 au 31 décembre 2012 et, sous conditions, jusqu'au 31 mars 2013 dans le secteur intermédiaire dans les zones présentant un déséquilibre entre l'offre et la demande de logements accompagnée d'une déduction spécifique sur les revenus tirés de ces logements (sous conditions de loyer plus strictes et conditions de ressources du locataire) : Dispositif SCELLIER intermédiaire;Impôt sur le revenu;Cohésion des territoires;135;Urbanisme, territoires et amélioration de l'habitat;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;239;191;200
110256;Réduction d'impôt au titre des investissements effectués dans le secteur du logement social dans les collectivités d'outre-mer et en Nouvelle-Calédonie;Impôt sur le revenu;Outre-mer;123;Conditions de vie outre-mer;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;19;17;17
110258;Réduction d'impôt sur le revenu en faveur des investissements locatifs réalisés outre-mer jusqu'au 31 décembre 2012 ou, sous conditions, jusqu'au 31 mars 2013 : dispositif SCELLIER outre-mer;Impôt sur le revenu;Outre-mer;123;Conditions de vie outre-mer;Cohésion des territoires;135;Urbanisme, territoires et amélioration de l'habitat;Sans objet;Sans objet;Sans objet;ε;N/A;ε
110259;Réduction d'impôt sur le revenu en faveur des investissements locatifs réalisés outre-mer dans le secteur intermédiaire jusqu'au 31 décembre 2012 ou, sous conditions, jusqu'au 31 mars 2013 : dispositif SCELLIER intermédiaire outre-mer;Impôt sur le revenu;Outre-mer;123;Conditions de vie outre-mer;Cohésion des territoires;135;Urbanisme, territoires et amélioration de l'habitat;Sans objet;Sans objet;Sans objet;13;1;11
110260;Réduction d’impôt au titre de la souscription de parts de fonds d’investissement de proximité investis dans des sociétés qui exercent leurs activités dans les départements et collectivités d’outre-mer (FIPOM);Impôt sur le revenu;Outre-mer;123;Conditions de vie outre-mer;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;3;3;3
110261;Réductions d'impôt sur le revenu en faveur de l'investissement locatif intermédiaire (dispositifs Duflot et Pinel);Impôt sur le revenu;Cohésion des territoires;135;Urbanisme, territoires et amélioration de l'habitat;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;1396;1523;1529
110262;Crédit d'impôt au titre d’investissements et travaux forestiers et cotisations d'assurance de bois et forêts;Impôt sur le revenu;Agriculture, alimentation, forêt et affaires rurales;149;Compétitivité et durabilité de l'agriculture, de l'agroalimentaire et de la forêt;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;9;12;20
110263;Réduction d'impôt accordée au titre des souscriptions en numéraire au capital d'entreprises de presse;Impôt sur le revenu;Médias, livre et industries culturelles;180;Presse et médias;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;ε;ε;ε
110265;Réduction d'impôt en faveur de l'investissement locatif intermédiaire rénové (Dispositif Denormandie);Impôt sur le revenu;Cohésion des territoires;135;Urbanisme, territoires et amélioration de l'habitat;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;3;10;5
110266;Réduction d'impôt accordée au titre des souscriptions en numéraire au capital initial ou aux augmentations de capital d'une société foncière solidaire;Impôt sur le revenu;Cohésion des territoires;147;Politique de la ville;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;9;12;13
